id,name,aliases
401901401,Goblin Brave,[]
401901402,Rai-Rai,[]
401901403,Night Mare,[]
401901404,Nepterion,[]
401901408,Aquarius,[]
401902401,Wyvern,[]
401902402,Land Sloth,[]
401902403,Needle Creeper,[]
401902404,Sword Cobra,[]
401902408,Torpedon,[]
401903401,Frost Hound,[]
401903405,Demi Khalid,[]
401903406,Sand Hammer,[]
401903407,Basilisk Allos,[]
401903408,Mesarthim,[]
401904401,Living Mail,[]
401904402,Toughgeist,[]
401904406,Wraith Collector,[]
401904407,Titano Turtle,[]
401904411,Minotaur,[]
401905401,Madam Electra,[]
401905402,Wild Gryphon,[]
401905403,Orc Chief,[]
401905404,Obsidian Wyvern,[]
401905408,Twin Pigs,[]
401906401,Goblin Brave,[]
401906402,Rai-Rai,[]
401906403,Servant Locus,[]
401906407,Goblin Meister,[]
401906408,Karkinos,[]
401907401,Wyvern,[]
401907402,Demi Khalid,[]
401907403,Raiden,[]
401907407,Spirit Horn,[]
401907408,Orleon,[]
401908401,Madam Electra,[]
401908402,Mist Seeker,[]
401908403,Bio Dozer,[]
401908404,Tritem,[]
401908408,Medusa,[]
