id,name,aliases
401901101,ゴブリングレート,[]
401901102,ライライ,[]
401901103,ムーバ,[]
401901104,ネプテリオン,[]
401901105,ネプテリオンA,[]
401901106,ネプテリオンB,[]
401901107,ネプテリオンC,[]
401901108,アクアリオス,[]
401901109,アクアリオス本体,[]
401901110,水瓶,[]
401901111,バーストエネミー,[]
401901112,バーストエネミー,[]
401901113,バーストエネミー,[]
401901114,バーストエネミー,[]
401901115,バーストエネミー,[]
401901201,ゴブリングレート,[]
401901202,ライライ,[]
401901203,ムーバ,[]
401901204,ネプテリオン,[]
401901205,ネプテリオンA,[]
401901206,ネプテリオンB,[]
401901207,ネプテリオンC,[]
401901208,アクアリオス,[]
401901209,アクアリオス本体,[]
401901210,水瓶,[]
401901211,バーストエネミー,[]
401901212,バーストエネミー,[]
401901213,バーストエネミー,[]
401901214,バーストエネミー,[]
401901215,バーストエネミー,[]
401901301,ゴブリングレート,[]
401901302,ライライ,[]
401901303,ムーバ,[]
401901304,ネプテリオン,[]
401901305,ネプテリオンA,[]
401901306,ネプテリオンB,[]
401901307,ネプテリオンC,[]
401901308,アクアリオス,[]
401901309,アクアリオス本体,[]
401901310,水瓶,[]
401901311,バトルフィールド効果,[]
401901312,バーストエネミー,[]
401901313,バーストエネミー,[]
401901314,バーストエネミー,[]
401901315,バーストエネミー,[]
401901316,バーストエネミー,[]
401901401,ゴブリングレート,[]
401901402,ライライ,[]
401901403,ムーバ,[]
401901404,ネプテリオン,[]
401901405,ネプテリオンA,[]
401901406,ネプテリオンB,[]
401901407,ネプテリオンC,[]
401901408,アクアリオス,[]
401901409,アクアリオス本体,[]
401901410,水瓶,[]
401901411,バトルフィールド効果,[]
401901412,バーストエネミー,[]
401901413,バーストエネミー,[]
401901414,バーストエネミー,[]
401901415,バーストエネミー,[]
401901416,バーストエネミー,[]
401901501,ゴブリングレート,[]
401901502,ライライ,[]
401901503,ムーバ,[]
401901504,ネプテリオン,[]
401901505,ネプテリオンA,[]
401901506,ネプテリオンB,[]
401901507,ネプテリオンC,[]
401901508,アクアリオス,[]
401901509,アクアリオス本体,[]
401901510,水瓶,[]
401901511,バーストエネミー,[]
401901512,バーストエネミー,[]
401901513,バーストエネミー,[]
401901514,バーストエネミー,[]
401901515,バーストエネミー,[]
