id,name,name_en,aliases
100101,ヒヨリ,Hiyori,[]
100201,ユイ,Yui,[]
100301,レイ,Rei,[]
100401,ミソギ,Misogi,[]
100501,マツリ,Matsuri,[]
100601,アカリ,Akari,[]
100701,ミヤコ,Miyako,[]
100801,ユキ,Yuki,[]
100901,アンナ,Anna,[]
101001,マホ,Maho,[]
101101,リノ,Rino,[]
101201,ハツネ,Hatsune,[]
101301,ナナカ,Nanaka,[]
101401,カスミ,Kasumi,[]
101501,ミサト,Misato,[]
101601,スズナ,Suzuna,[]
101701,カオリ,Kaori,[]
101801,イオ,Io,[]
102001,ミミ,Mimi,[]
102101,クルミ,Kurumi,[]
102201,ヨリ,Yori,[]
102301,アヤネ,Ayane,[]
102501,スズメ,Suzume,[]
102601,リン,Rin,[]
102701,エリコ,Eriko,[]
102801,サレン,Saren,[]
102901,ノゾミ,Nozomi,[]
103001,ニノン,Ninon,[]
103101,シノブ,Shinobu,[]
103201,アキノ,Akino,[]
103301,マヒル,Mahiru,[]
103401,ユカリ,Yukari,[]
103601,キョウカ,Kyouka,[]
103701,トモ,Tomo,[]
103801,シオリ,Shiori,[]
104001,アオイ,Aoi,[]
104201,チカ,Chika,[]
104301,マコト,Makoto,[]
104401,イリヤ,Illya,[]
104501,クウカ,Kuuka,[]
104601,タマキ,Tamaki,[]
104701,ジュン,Jun,[]
104801,ミフユ,Mifuyu,[]
104901,シズル,Shizuru,[]
105001,ミサキ,Misaki,[]
105101,ミツキ,Mitsuki,[]
105201,リマ,Lima,[]
105301,モニカ,Monika,[]
105401,ツムギ,Tsumugi,[]
105501,アユミ,Ayumi,[]
105601,ルカ,Ruka,[]
105701,ジータ,Djeeta,[]
105801,ペコリーヌ,Pecorine,[]
105901,コッコロ,Kokkoro,[]
106001,キャル,Kyaru,[]
106101,ムイミ,Muimi,[]
106301,アリサ,Arisa,[]
106401,シェフィ,Sheffy,[]
106501,カヤ,Kaya,[]
106601,イノリ,Inori,[]
106701,ホマレ,Homare,[]
106801,ラビリスタ,Labyrista,[]
106901,カイザーインサイト,Kaiser Insight,[]
107001,ネネカ,Neneka,[]
107101,クリスティーナ,Christina,[]
107501,ペコリーヌ（サマー）,Pecorine (Summer),[]
107601,コッコロ（サマー）,Kokkoro (Summer),[]
107701,スズメ（サマー）,Suzume (Summer),[]
107801,キャル（サマー）,Kyaru (Summer),[]
107901,タマキ（サマー）,Tamaki (Summer),[]
108001,ミフユ（サマー）,Mifuyu (Summer),[]
108101,シノブ（ハロウィン）,Shinobu (Halloween),[]
108201,ミヤコ（ハロウィン）,Miyako (Halloween),[]
108301,ミサキ（ハロウィン）,Misaki (Halloween),[]
108401,チカ（クリスマス）,Chika (Christmas),[]
108501,クルミ（クリスマス）,Kurumi (Christmas),[]
108601,アヤネ（クリスマス）,Ayane (Christmas),[]
108701,ヒヨリ（ニューイヤー）,Hiyori (New Year),[]
108801,ユイ（ニューイヤー）,Yui (New Year),[]
108901,レイ（ニューイヤー）,Rei (New Year),[]
109001,エリコ（バレンタイン）,Eriko (Valentine),[]
109101,シズル（バレンタイン）,Shizuru (Valentine),[]
109201,アン,Anne,[]
109301,ルゥ,Lou,[]
109401,グレア,Grea,[]
109501,クウカ（オーエド）,Kuuka (Ooedo),[]
109601,ニノン（オーエド）,Ninon (Ooedo),[]
109701,レム,Rem,[]
109801,ラム,Ram,[]
109901,エミリア,Emilia,[]
110001,スズナ（サマー）,Suzuna (Summer),[]
110101,イオ（サマー）,Io (Summer),[]
110201,ミサキ（サマー）,Misaki (Summer),[]
110301,サレン（サマー）,Saren (Summer),[]
110401,マコト（サマー）,Makoto (Summer),[]
110501,カオリ（サマー）,Kaori (Summer),[]
110601,マホ（サマー）,Maho (Summer),[]
110701,アオイ（編入生）,Aoi (Student),[]
110801,クロエ,Chloe,[]
110901,チエル,Chieru,[]
111001,ユニ,Yuni,[]
111101,キョウカ（ハロウィン）,Kyouka (Halloween),[]
111201,ミソギ（ハロウィン）,Misogi (Halloween),[]
111301,ミミ（ハロウィン）,Mimi (Halloween),[]
111401,ルナ,Luna,[]
111501,クリスティーナ（クリスマス）,Christina (Christmas),[]
111601,ノゾミ（クリスマス）,Nozomi (Christmas),[]
111701,イリヤ（クリスマス）,Illya (Christmas),[]
111801,ペコリーヌ（ニューイヤー）,Pecorine (New Year),[]
111901,コッコロ（ニューイヤー）,Kokkoro (New Year),[]
112001,キャル（ニューイヤー）,Kyaru (New Year),[]
112101,スズメ（ニューイヤー）,Suzume (New Year),[]
112201,カスミ（マジカル）,Kasumi (Magical Girl),[]
112301,シオリ（マジカル）,Shiori (Magical Girl),[]
112401,ウヅキ（デレマス）,Uzuki (IM@S CG),[]
112501,リン（デレマス）,Rin (IM@S CG),[]
112601,ミオ（デレマス）,Mio (IM@S CG),[]
112701,リン（レンジャー）,Rin (Ranger),[]
112801,マヒル（レンジャー）,Mahiru (Ranger),[]
112901,リノ（ワンダー）,Rino (Wonderland),[]
113001,アユミ（ワンダー）,Ayumi (Wonderland),[]
113101,ルカ（サマー）,Ruka (Summer),[]
113201,アンナ（サマー）,Anna (Summer),[]
113301,ナナカ（サマー）,Nanaka (Summer),[]
113401,ハツネ（サマー）,Hatsune (Summer),[]
113501,ミサト（サマー）,Misato (Summer),[]
113601,ジュン（サマー）,Jun (Summer),[]
113701,アカリ（エンジェル）,Akari (Angel),[]
113801,ヨリ（エンジェル）,Yori (Angel),[]
113901,ツムギ（ハロウィン）,Tsumugi (Halloween),[]
114001,レイ（ハロウィン）,Rei (Halloween),[]
114101,マツリ（ハロウィン）,Matsuri (Halloween),[]
114201,モニカ（マジカル）,Monika (Magical Girl),[]
114301,トモ（マジカル）,Tomo (Magical Girl),[]
114401,アキノ（クリスマス）,Akino (Christmas),[]
114501,サレン（クリスマス）,Saren (Christmas),[]
114601,ユカリ（クリスマス）,Yukari (Christmas),[]
114701,ムイミ（ニューイヤー）,Muimi (New Year),[]
115001,ネネカ（ニューイヤー）,Neneka (New Year),[]
115501,コッコロ（儀装束）,Kokkoro (Ceremonial),[]
115601,ユイ（儀装束）,Yui (Ceremonial),[]
115701,カスミ（サマー）,Kasumi (Summer),[]
115801,リマ（シンデレラ）,Lima (Cinderella),[]
115901,マコト（シンデレラ）,Makoto (Cinderella),[]
116001,マホ（シンデレラ）,Maho (Cinderella),[]
116201,クロエ（聖学祭）,Chloe (School Festival),[]
116301,チエル（聖学祭）,Chieru (School Festival),[]
116401,ユニ（聖学祭）,Yuni (School Festival),[]
116501,イノリ（タイムトラベル）,Inori (Time Traveller),[]
116601,カヤ（タイムトラベル）,Kaya (Time Traveller),[]
116701,アオイ（作業服）,Aoi (Work),[]
116801,タマキ（作業服）,Tamaki (Work),[]
116901,ミフユ（作業服）,Mifuyu (Work),[]
117001,エリコ（サマー）,Eriko (Summer),[]
117101,シズル（サマー）,Shizuru (Summer),[]
117201,ノゾミ（サマー）,Nozomi (Summer),[]
117301,チカ（サマー）,Chika (Summer),[]
117401,ツムギ（サマー）,Tsumugi (Summer),[]
117501,ミツキ（オーエド）,Mitsuki (Ooedo),[]
117601,ユキ（オーエド）,Yuki (Ooedo),[]
117701,カオリ（ハロウィン）,Kaori (Halloween),[]
117801,ニノン（ハロウィン）,Ninon (Halloween),[]
117901,スズナ（ハロウィン）,Suzuna (Halloween),[]
118001,クレジッタ,Creditta,[]
118101,ランファ,Ranpha,[]
118201,ミソラ,Misora,[]
118301,ハツネ（ハツネ&シオリ）,ハツネ（ハツネ&シオリ）,[]
118401,シオリ（ハツネ&シオリ）,シオリ（ハツネ&シオリ）,[]
118501,カリン,Karin,[]
118601,ネビア,Nebbia,[]
119001,イオ（ノワール）,Io (Noir),[]
119101,クウカ（ノワール）,Kuuka (Noir),[]
119201,マヒル（クリスマス）,Mahiru (Christmas),[]
119301,リノ（クリスマス）,Rino (Christmas),[]
119401,ペコリーヌ,Pecorine,[]
119501,コッコロ,Kokkoro,[]
119601,キャル,Kyaru,[]
119701,シェフィ,Sheffy,[]
119901,ミヤコ（クリスマス）,Miyako (Christmas),[]
120001,シズル（ノワール）,Shizuru (Noir),[]
120101,イオ（ノワール）,Io (Noir),[]
120201,クウカ（ノワール）,Kuuka (Noir),[]
120301,シズル（ノワール）,Shizuru (Noir),[]
120401,ミミ（リトルリリカル）,ミミ（リトルリリカル）,[]
120501,ミソギ（リトルリリカル）,ミソギ（リトルリリカル）,[]
120601,キョウカ（リトルリリカル）,キョウカ（リトルリリカル）,[]
120701,シェフィ（ニューイヤー）,Sheffy (New Year),[]
120801,ルカ（ニューイヤー）,Ruka (New Year),[]
120901,イリヤ（ニューイヤー）,Illya (New Year),[]
121001,ペコリーヌ（オーバーロード）,Pecorine (Overload),[]
121101,キャル（オーバーロード）,Kyaru (Overload),[]
121201,ラビリスタ（オーバーロード）,Labyrista (Overload),[]
121301,クルミ（ステージ）,Kurumi (Stage),[]
121401,ミサキ（ステージ）,Misaki (Stage),[]
121501,アユミ（怪盗）,Ayumi (Phantom Thief),[]
121601,イノリ（怪盗）,Inori (Phantom Thief),[]
121701,アキノ（アキノ＆サレン）,アキノ（アキノ＆サレン）,[]
121801,サレン（アキノ＆サレン）,サレン（アキノ＆サレン）,[]
121901,アンナ（パイレーツ）,Anna (Pirate),[]
122001,シノブ（パイレーツ）,Shinobu (Pirate),[]
122101,アオイ（キャンプ）,Aoi (Camp),[]
122201,ユカリ（キャンプ）,Yukari (Camp),[]
122301,ヴァンピィ,Vampy,[]
122401,ヒヨリ（サマー）,Hiyori (Summer),[]
122501,レイ（サマー）,Rei (Summer),[]
122601,ユイ（サマー）,Yui (Summer),[]
122701,キョウカ（サマー）,Kyouka (Summer),[]
122801,ミソギ（サマー）,Misogi (Summer),[]
122901,ミミ（サマー）,Mimi (Summer),[]
123001,アメス,Ameth,[]
123101,マホ（エクスプローラー）,Maho (Explorer),[]
123201,アヤネ（エクスプローラー）,Ayane (Explorer),[]
123301,ネア,Nea,[]
123401,ジュン（キャンプ）,Jun (Camp),[]
123501,リン（ハロウィン）,Rin (Halloween),[]
123601,トモ（ハロウィン）,Tomo (Halloween),[]
123701,ナナカ（ハロウィン）,Nanaka (Halloween),[]
123801,クリスティーナ（ワイルド）,Christina (Wild),[]
123901,マツリ（ワイルド）,Matsuri (Wild),[]
124001,アカリ（クリスマス）,Akari (Christmas),[]
124101,ヨリ（クリスマス）,Yori (Christmas),[]
124201,ジュン（クリスマス）,Jun (Christmas),[]
124301,アン（アン＆グレア）,アン（アン＆グレア）,[]
124401,グレア（アン＆グレア）,グレア（アン＆グレア）,[]
124501,ホマレ（ニューイヤー）,Homare (New Year),[]
124601,ミサト（ニューイヤー）,Misato (New Year),[]
124701,ミツキ（ニューイヤー）,Mitsuki (New Year),[]
124801,ノゾミ（リベレイター）,Nozomi (Liberator),[]
124901,カヤ（リベレイター）,Kaya (Liberator),[]
125001,ムイミ（リベレイター）,Muimi (Liberator),[]
125101,タマキ（カフェ）,Tamaki (Cafe),[]
125201,モニカ（カフェ）,Monika (Cafe),[]
125301,コッコロ（レンジャー）,Kokkoro (Ranger),[]
125401,シオリ（レンジャー）,Shiori (Ranger),[]
125501,ジータ（ウォーロック）,Djeeta (Warlock),[]
125601,ビカラ,Vikala,[]
125701,カリン（アルケミスト）,Karin (Alchemist),[]
125801,リリ（フォールン）,Riri (Fallen),[]
125901,カヤ（リベレイター）,Kaya (Liberator),[]
126001,クリア（フォールン）,Qulia (Fallen),[]
126101,プレシア（フォールン）,Precia (Fallen),[]
126201,イリヤ（儀装束）,Illya (Ceremonial),[]
126301,ユキ（儀装束）,Yuki (Ceremonial),[]
126401,クローチェ,Croce,[]
126501,ライラエル,Lyrael,[]
126601,ネネカ（サマー）,Neneka (Summer),[]
126701,アキノ（サマー）,Akino (Summer),[]
126801,ユカリ（サマー）,Yukari (Summer),[]
126901,ランファ（サマー）,Ranpha (Summer),[]
127001,クウカ（サマー）,Kuuka (Summer),[]
127101,シノブ（サマー）,Shinobu (Summer),[]
127201,キャル（編入生）,Kyaru (Student),[]
127301,スズナ（編入生）,Suzuna (Student),[]
127401,ビカラ（コラボ）,ビカラ（コラボ）,[]
127501,サレン（サラサリア）,Saren (Salasaria),[]
127601,ルカ（サラサリア）,Ruka (Salasaria),[]
127701,リンド,Lind,[]
127801,ヴルム,Wurm,[]
127901,ペコリーヌ（クリスマス）,Pecorine (Christmas),[]
128001,クレジッタ（クリスマス）,Creditta (Christmas),[]
128101,シズル（シズル&リノ）,シズル（シズル&リノ）,[]
128201,リノ（シズル&リノ）,リノ（シズル&リノ）,[]
128301,イノリ（ニューイヤー）,Inori (New Year),[]
128401,ハツネ（ニューイヤー）,Hatsune (New Year),[]
128501,カスミ（ニューイヤー）,Kasumi (New Year),[]
128601,リリ（フォールン）,Riri (Fallen),[]
128701,ヒヨリ（アストラル）,Hiyori (Astral),[]
128801,レイ（アストラル）,Rei (Astral),[]
128901,ユイ（アストラル）,Yui (Astral),[]
129001,エリス,Eris,[]
129301,ユニ（ウィンター）,Yuni (Winter),[]
129401,クロエ（ウィンター）,Chloe (Winter),[]
129501,チエル（ウィンター）,Chieru (Winter),[]
129601,アネモネ,Anemone,[]
129701,ネフィ＝ネラ,Nephi Nela,[]
129801,マコト（コマンダー）,Makoto (Commander),[]
129901,エリコ（コマンダー）,Eriko (Commander),[]
130001,ヤマト,Yamato,[]
130101,ワカナ,Wakana,[]
130201,フブキ,Fubuki,[]
130601,レイ（アストラル）,Rei (Astral),[]
130701,キョウカ（スプリング）,Kyouka (Spring),[]
130801,スズメ（スプリング）,Suzume (Spring),[]
130901,クルル,Kururu,[]
131001,マホ（ドリームパーク）,Maho (Dream Park),[]
131101,ネア（サマー）,Nea (Summer),[]
131201,ミソラ（サマー）,Misora (Summer),[]
131301,リリ,Riri,[]
131401,クリア,Qulia,[]
131501,プレシア,Precia,[]
131601,リリ（サマー）,Riri (Summer),[]
131701,アメス（サマー）,Ameth (Summer),[]
131801,ホマレ（サマー）,Homare (Summer),[]
131901,エミリア（サマー）,Emilia (Summer),[]
132001,エキドナ（サマー）,Echidna (Summer),[]
132101,レム（サマー）,Rem (Summer),[]
132201,ノゾミ（アルケミスト）,Nozomi (Alchemist),[]
132301,ルイズマリー,Louise-Marie,[]
132401,イロハ,Iroha,[]
132501,ソノ,Sono,[]
132801,ライラエル（クリスマス）,Lyrael (Christmas),[]
132901,イオ（クリスマス）,Io (Christmas),[]
133001,グレイス,Grace,[]
133101,ヴァイオレット,Violet,[]
133201,モニカ（ニューイヤー）,Monika (New Year),[]
133501,サレン（ニューイヤー）,Saren (New Year),[]
133601,メドゥーサ,Medusa,[]
133701,ラビリスタ（アルファ）,Labyrista (Alpha),[]
133801,ネネカ（アルファ）,Neneka (Alpha),[]
133901,クリスティーナ（アルファ）,Christina (Alpha),[]
134001,フィオ,Fio,[]
134101,フブキ,Fubuki,[]
134201,ライラエル（クリスマス）,Lyrael (Christmas),[]
134301,ランファ（儀装束）,Ranpha (Ceremonial),[]
134401,チカ（儀装束）,Chika (Ceremonial),[]
134501,クローチェ（エアリアル）,Croce (Aerial),[]
134601,アオイ（パイロット）,Aoi (Pilot),[]
134701,ホウオウ,Ho-oh,[]
134801,ツムギ（ジオ・ゲヘナ）,Tsumugi (Geo Gehenna),[]
134901,カノン,Kanon,[]
135001,エリス（サマー）,Eris (Summer),[]
135101,シェフィ（サマー）,Sheffy (Summer),[]
135201,プレシア（サマー）,Precia (Summer),[]
135301,クリア（サマー）,Qulia (Summer),[]
135401,アネモネ（サマー）,Anemone (Summer),[]
135501,アイラ,Aira,[]
135601,シナツ,Shinatsu,[]
135701,ヒヨリ（サラサリア）,Hiyori (Salasaria),[]
135801,ユキノ,Yukino,[]
135901,サツキ,Satsuki,[]
136001,アラクネ,Arachne,[]
136101,サクラ,Sakura,[]
136201,ナーナ,Naana,[]
136301,ミソラ（クリスマス）,Misora (Christmas),[]
136401,ユイ（クリスマス）,Yui (Christmas),[]
136501,シズル（ニューイヤー）,Shizuru (New Year),[]
136601,メドゥーサ,Medusa,[]
136701,ラビリスタ（アルファ）,Labyrista (Alpha),[]
136801,ランファ（儀装束）,Ranpha (Ceremonial),[]
136901,ルルィ,Rurui,[]
137101,ニノン（サマー）,Ninon (Summer),[]
137201,ラビリスタ,Labyrista,[]
137301,カノン,Kanon,[]
137401,カスミ（シスター）,Kasumi (Sister),[]
137501,アイラ,Aira,[]
137601,コッコロ（嚮導幼君）,Kokkoro (Little Guidance),[]
137801,ユキノ,Yukino,[]
137901,リノ（ニューイヤー）,Rino (New Year),[]
138001,ヴァイオレット（イサナミ）,Violet (Isanami),[]
138101,ライラエル（パルフェクト）,Lyrael (Perfect),[]
138201,ネフィ＝ネラ（鬼面仏心）,Nephi Nela (Buddha),[]
138301,ペコリーヌ（アストライア）,Pecorine (Astraea),[]
138601,サクラ,Sakura,[]
138701,ワカナ（ウィンター）,Wakana (Winter),[]
138801,シオリ（ウィンター）,Shiori (Winter),[]
